Risk & Performance Analysis,,,,,,
,,,,,,
Annualized Metrics,,,,,,
Asset,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,,
Reliance Industries,10.1%,20.1%,0.18,—,,
HDFC Bank,8.2%,18.5%,0.09,—,,
TCS,2.4%,19.8%,(0.21),—,,
ICICI Bank,15.1%,17.6%,0.49,—,,
Infosys,4.9%,23.7%,(0.07),—,,
Portfolio,9.1%,13.4%,0.20,(14.7%),,
NIFTY 50,12.8%,12.0%,0.53,(15.8%),,
,,,,,,
Cumulative Performance & Drawdown,,,,,,
Date,Portfolio Index,Portfolio Running Peak,Portfolio Drawdown,NIFTY 50 Index,NIFTY Running Peak,NIFTY 50 Drawdown
03-Dec-2025,129.58,131.50,(1.46%),142.80,144.06,(0.88%)
04-Dec-2025,129.97,131.50,(1.16%),143.06,144.06,(0.70%)
05-Dec-2025,130.65,131.50,(0.64%),143.90,144.06,(0.11%)
08-Dec-2025,130.58,131.50,(0.70%),142.66,144.06,(0.97%)
09-Dec-2025,129.52,131.50,(1.50%),142.00,144.06,(1.44%)
10-Dec-2025,128.95,131.50,(1.93%),141.55,144.06,(1.75%)
11-Dec-2025,129.60,131.50,(1.44%),142.32,144.06,(1.21%)
12-Dec-2025,130.20,131.50,(0.99%),143.14,144.06,(0.65%)
15-Dec-2025,130.19,131.50,(1.00%),143.03,144.06,(0.72%)
16-Dec-2025,129.48,131.50,(1.53%),142.11,144.06,(1.36%)
17-Dec-2025,129.21,131.50,(1.74%),141.88,144.06,(1.52%)
18-Dec-2025,129.93,131.50,(1.19%),141.86,144.06,(1.53%)
19-Dec-2025,130.67,131.50,(0.62%),142.69,144.06,(0.95%)
22-Dec-2025,132.12,132.12,-,143.82,144.06,(0.17%)
23-Dec-2025,131.87,132.12,(0.19%),143.85,144.06,(0.15%)
24-Dec-2025,131.60,132.12,(0.40%),143.66,144.06,(0.28%)
26-Dec-2025,130.92,132.12,(0.91%),143.11,144.06,(0.66%)
29-Dec-2025,130.15,132.12,(1.49%),142.56,144.06,(1.04%)
30-Dec-2025,129.68,132.12,(1.85%),142.54,144.06,(1.06%)
31-Dec-2025,129.94,132.12,(1.65%),143.59,144.06,(0.33%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
,,132.12,(100.00%),,144.06,(100.00%)
